id,name,language.code,language.href,syllabic,feature.id,feature.href,category,status.code,status.href,concise.code,concise.href,generic.code,generic.href,location,province.code,province.href,map,relevance,accuracy,latitude,longitude,decision
ACPVY,Newfoundland and Labrador,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,64b474a0ba1f11d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/64b474a0ba1f11d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,PROV,https://geogratis.gc.ca/services/geoname/en/codes/concise/PROV,491,https://geogratis.gc.ca/services/geoname/en/codes/generic/491,,10,https://geogratis.gc.ca/services/geoname/en/codes/province/10,MCR77,30000000,100,53.23,-59.999167,2001-12-06
NAABJ,Océan Atlantique,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,898da0a9ba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/898da0a9ba3611d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,SEA,https://geogratis.gc.ca/services/geoname/en/codes/concise/SEA,1250,https://geogratis.gc.ca/services/geoname/en/codes/generic/1250,,73,https://geogratis.gc.ca/services/geoname/en/codes/province/73,010M03,30000000,100,43.0,-63.0,1983-11-23
DBBWP,New Brunswick,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,7bf1dba0ba1f11d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/7bf1dba0ba1f11d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,PROV,https://geogratis.gc.ca/services/geoname/en/codes/concise/PROV,491,https://geogratis.gc.ca/services/geoname/en/codes/generic/491,,13,https://geogratis.gc.ca/services/geoname/en/codes/province/13,MCR77,30000000,100,46.5,-66.0,1983-11-23
JDAKU,Colombie-Britannique,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,43b1b6b3ba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/43b1b6b3ba3611d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,PROV,https://geogratis.gc.ca/services/geoname/en/codes/concise/PROV,491,https://geogratis.gc.ca/services/geoname/en/codes/generic/491,,59,https://geogratis.gc.ca/services/geoname/en/codes/province/59,MCR3,30000000,100,54.0,-125.0,1983-11-23
KAIIM,Yukon,gwi,https://geogratis.gc.ca/services/geoname/en/codes/language/gwi,,68b803ebba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/68b803ebba3611d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,TERR,https://geogratis.gc.ca/services/geoname/en/codes/concise/TERR,492,https://geogratis.gc.ca/services/geoname/en/codes/generic/492,,60,https://geogratis.gc.ca/services/geoname/en/codes/province/60,105L15,30000000,100,63.0,-135.0,2003-04-01
EHTWR,Québec,mis,https://geogratis.gc.ca/services/geoname/en/codes/language/mis,,24e21a60be4811d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/24e21a60be4811d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,23,https://geogratis.gc.ca/services/geoname/en/codes/generic/23,"Québec; Capitale-Nationale",24,https://geogratis.gc.ca/services/geoname/en/codes/province/24,021L14,30000000,100,46.813819,-71.207997,2002-01-24
EQKTO,Lac-Saint-Charles,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,24e21a60be4811d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/24e21a60be4811d892e2080020a0f4c9,H,previouslyOfficial,https://geogratis.gc.ca/services/geoname/en/codes/status/previouslyOfficial,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,23,https://geogratis.gc.ca/services/geoname/en/codes/generic/23,"Québec; Québec",24,https://geogratis.gc.ca/services/geoname/en/codes/province/24,021L14,30000000,100,46.813819,-71.207997,2002-01-24
GBGYI,Manitoba,cre,https://geogratis.gc.ca/services/geoname/en/codes/language/cre,,b8cef9b1bbe011d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/b8cef9b1bbe011d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,PROV,https://geogratis.gc.ca/services/geoname/en/codes/concise/PROV,491,https://geogratis.gc.ca/services/geoname/en/codes/generic/491,,46,https://geogratis.gc.ca/services/geoname/en/codes/province/46,MCR27,30000000,100,55.0,-97.0,1905-12-31
EKJCH,Loretteville,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,24e21a60be4811d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/24e21a60be4811d892e2080020a0f4c9,H,previouslyOfficial,https://geogratis.gc.ca/services/geoname/en/codes/status/previouslyOfficial,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,23,https://geogratis.gc.ca/services/geoname/en/codes/generic/23,"Québec; Québec",24,https://geogratis.gc.ca/services/geoname/en/codes/province/24,021L14,30000000,100,46.813819,-71.207997,2002-01-24
EFLXW,Beauport,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,24e21a60be4811d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/24e21a60be4811d892e2080020a0f4c9,H,previouslyOfficial,https://geogratis.gc.ca/services/geoname/en/codes/status/previouslyOfficial,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,23,https://geogratis.gc.ca/services/geoname/en/codes/generic/23,"Québec; Québec",24,https://geogratis.gc.ca/services/geoname/en/codes/province/24,021L14,30000000,100,46.813819,-71.207997,2002-01-24
OASUD,Baie de Baffin,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,89d4469cba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/89d4469cba3611d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,BAY,https://geogratis.gc.ca/services/geoname/en/codes/concise/BAY,1433,https://geogratis.gc.ca/services/geoname/en/codes/generic/1433,,62,https://geogratis.gc.ca/services/geoname/en/codes/province/62,028C16,30000000,100,74.0,-68.0,1983-11-23
LBCFD,Mer de Beaufort,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,5e570163ba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/5e570163ba3611d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,SEA,https://geogratis.gc.ca/services/geoname/en/codes/concise/SEA,1248,https://geogratis.gc.ca/services/geoname/en/codes/generic/1248,"Franklin",61,https://geogratis.gc.ca/services/geoname/en/codes/province/61,MCR130,30000000,100,71.999905,-141.003722,1983-11-23
BAARG,Charlottetown,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,7793ebdfd05511d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/7793ebdfd05511d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,1,https://geogratis.gc.ca/services/geoname/en/codes/generic/1,"Queens",11,https://geogratis.gc.ca/services/geoname/en/codes/province/11,011L03,30000000,100,46.240278,-63.134722,1996-06-17
CAPHL,Halifax,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,3cdd11afaf6811d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/3cdd11afaf6811d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,UNP,https://geogratis.gc.ca/services/geoname/en/codes/concise/UNP,208,https://geogratis.gc.ca/services/geoname/en/codes/generic/208,"Halifax",12,https://geogratis.gc.ca/services/geoname/en/codes/province/12,011D12,30000000,100,44.647401,-63.590651,1996-04-01
NAABI,Atlantic Ocean,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,898da0a9ba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/898da0a9ba3611d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,SEA,https://geogratis.gc.ca/services/geoname/en/codes/concise/SEA,1212,https://geogratis.gc.ca/services/geoname/en/codes/generic/1212,,73,https://geogratis.gc.ca/services/geoname/en/codes/province/73,010M03,30000000,100,43.0,-63.0,1983-11-23
FEHRI,Ontario,mis,https://geogratis.gc.ca/services/geoname/en/codes/language/mis,,b8734520bbe011d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/b8734520bbe011d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,PROV,https://geogratis.gc.ca/services/geoname/en/codes/concise/PROV,491,https://geogratis.gc.ca/services/geoname/en/codes/generic/491,,35,https://geogratis.gc.ca/services/geoname/en/codes/province/35,MCR39,30000000,100,49.25,-84.5,1867-07-01
NAABK,Arctic Ocean,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,899f2cdaba3611d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/899f2cdaba3611d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,SEA,https://geogratis.gc.ca/services/geoname/en/codes/concise/SEA,1212,https://geogratis.gc.ca/services/geoname/en/codes/generic/1212,,73,https://geogratis.gc.ca/services/geoname/en/codes/province/73,079F11,30000000,100,80.0,-140.0,1983-11-23
EPSTH,Saint-Émile,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,24e21a60be4811d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/24e21a60be4811d892e2080020a0f4c9,H,previouslyOfficial,https://geogratis.gc.ca/services/geoname/en/codes/status/previouslyOfficial,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,23,https://geogratis.gc.ca/services/geoname/en/codes/generic/23,"Québec; Québec",24,https://geogratis.gc.ca/services/geoname/en/codes/province/24,021L14,30000000,100,46.813819,-71.207997,2002-01-24
DAFMJ,Fredericton,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,214dbdded05511d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/214dbdded05511d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,1,https://geogratis.gc.ca/services/geoname/en/codes/generic/1,"York",13,https://geogratis.gc.ca/services/geoname/en/codes/province/13,021G15,30000000,100,45.945278,-66.666667,2023-01-01
OAUFQ,Nunavut,ike,https://geogratis.gc.ca/services/geoname/en/codes/language/ike,ᓄᓇᕗᑦ,b8f98c24bbe011d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/b8f98c24bbe011d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,TERR,https://geogratis.gc.ca/services/geoname/en/codes/concise/TERR,492,https://geogratis.gc.ca/services/geoname/en/codes/generic/492,,62,https://geogratis.gc.ca/services/geoname/en/codes/province/62,057E03,30000000,100,70.166667,-90.733333,1999-04-01
ABEFS,St. John's,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,9922f349c6be11d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/9922f349c6be11d892e2080020a0f4c9,O,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,CITY,https://geogratis.gc.ca/services/geoname/en/codes/concise/CITY,1,https://geogratis.gc.ca/services/geoname/en/codes/generic/1,,10,https://geogratis.gc.ca/services/geoname/en/codes/province/10,001N07,30000000,100,47.482197,-52.797069,1986-01-01
OAGBB,Frobisher Bay,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,33e24964c6ce11d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/33e24964c6ce11d892e2080020a0f4c9,H,previouslyOfficial,https://geogratis.gc.ca/services/geoname/en/codes/status/previouslyOfficial,TOWN,https://geogratis.gc.ca/services/geoname/en/codes/concise/TOWN,2,https://geogratis.gc.ca/services/geoname/en/codes/generic/2,,62,https://geogratis.gc.ca/services/geoname/en/codes/province/62,025N10,30000000,100,63.75,-68.516667,1987-01-01
CBCBY,Nova Scotia,und,https://geogratis.gc.ca/services/geoname/en/codes/language/und,,2abcb7c5af4311d892e2080020a0f4c9,https://geogratis.gc.ca/services/geoname/en/features/2abcb7c5af4311d892e2080020a0f4c9,P,official,https://geogratis.gc.ca/services/geoname/en/codes/status/official,PROV,https://geogratis.gc.ca/services/geoname/en/codes/concise/PROV,491,https://geogratis.gc.ca/services/geoname/en/codes/generic/491,,12,https://geogratis.gc.ca/services/geoname/en/codes/province/12,MCR77,30000000,100,45.000075,-62.999327,1994-02-21
